,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
0,Sterling Brown,0,0,3,0,0,0,4,0,0,0.0,0,0.0
1,Chris Clemons,0,0,1,0,0,0,1,0,0,0.0,0,0.0
2,George Hill,3,0,13,3,4,0,25,2,3,6.0,2,4.0
3,Joakim Noah,0,0,8,1,0,0,5,0,1,7.14,0,0.0
4,Jordan Bell,0,0,2,1,2,0,1,0,1,16.67,0,0.0
5,Draymond Green,7,0,22,2,3,1,7,0,3,7.14,0,0.0
6,Kyle Lowry,12,0,44,9,12,0,43,1,9,7.44,1,0.83
7, ,1,1,1,0,1,1,15,7,1,3.7,8,29.63
8,Thaddeus Young,0,0,8,2,3,0,10,1,2,8.33,1,4.17
9,Timberwolves,2,0,0,0,1,0,4,2,0,0.0,2,22.22
10,Kevin Love,3,1,10,2,3,0,25,2,2,4.35,3,6.52
11,Anfernee Simons,3,0,10,0,2,0,10,1,0,0.0,1,3.85
12,Nikola Vucevic,5,0,56,1,3,0,20,2,1,1.15,2,2.3
13,Miles Bridges,7,0,15,1,7,0,16,0,1,2.17,0,0.0
14,JaVale McGee,1,0,2,0,0,0,2,0,0,0.0,0,0.0
15,Isaiah Thomas,4,0,3,1,2,0,5,0,1,6.67,0,0.0
16,DeAndre' Bembry,2,0,8,1,0,0,13,0,1,4.17,0,0.0
17,Paul Millsap,4,0,16,4,1,0,10,2,4,10.81,2,5.41
18,Spurs,3,0,0,0,1,0,5,4,0,0.0,4,30.77
19,Avery Bradley,1,0,3,0,0,0,3,0,0,0.0,0,0.0
20,Will Barton,8,1,20,1,7,1,37,4,2,2.53,5,6.33
21,Danuel House Jr.,4,0,11,0,2,0,6,0,0,0.0,0,0.0
22,Jerami Grant,8,1,17,1,8,0,28,0,1,1.59,1,1.59
23,Michael Carter-Williams,1,0,2,0,1,0,6,0,0,0.0,0,0.0
24,Omari Spellman,1,0,4,0,0,0,0,0,0,0.0,0,0.0
25,Julius Randle,10,0,52,3,18,0,51,6,3,2.14,6,4.29
26,Marc Gasol,2,0,18,1,1,0,5,0,1,3.7,0,0.0
27,Richaun Holmes,13,0,47,6,4,0,15,3,6,6.82,3,3.41
28,Alex Caruso,1,0,16,1,2,0,9,0,1,3.45,0,0.0
