,PlayerName,Committing_CC,Committing_IC,Committing_CNC,Committing_INC,Disadvantaged_CC,Disadvantaged_IC,Disadvantaged_CNC,Disadvantaged_INC,num_errors_in_favor,percent_errors_in_favor,num_errors_against,percent_errors_against
0,Sterling Brown,0,0,6,0,1,0,15,0,0,0.0,0,0.0
1,Chris Clemons,0,0,1,0,0,0,1,0,0,0.0,0,0.0
2,Isaiah Briscoe,0,0,4,0,0,0,1,1,0,0.0,1,16.67
3,George Hill,5,0,17,3,5,1,32,2,4,6.15,2,3.08
4,Joakim Noah,4,0,26,2,3,0,11,0,2,4.35,0,0.0
5,Jordan Bell,0,0,6,1,3,0,3,0,1,7.69,0,0.0
6,Draymond Green,14,0,76,4,6,1,32,2,5,3.7,2,1.48
7,Kyle Lowry,17,1,70,11,17,0,63,2,11,6.08,3,1.66
8, ,1,1,1,0,1,1,20,9,1,2.94,10,29.41
9,Thaddeus Young,1,0,19,2,3,0,16,2,2,4.65,2,4.65
10,Timberwolves,4,0,0,0,3,0,8,3,0,0.0,3,16.67
11,Kevin Love,4,1,17,3,7,0,36,2,3,4.29,3,4.29
12,Anfernee Simons,3,0,10,0,3,0,14,1,0,0.0,1,3.23
13,Nikola Vucevic,9,0,94,6,4,0,42,3,6,3.8,3,1.9
14,Blake Griffin,1,0,19,3,7,0,7,3,3,7.5,3,7.5
15,Daryl Macon,0,0,2,0,1,0,2,0,0,0.0,0,0.0
16,Miles Bridges,8,0,24,1,8,0,19,0,1,1.67,0,0.0
17,Devin Harris,2,0,5,1,1,0,2,0,1,9.09,0,0.0
18,JaVale McGee,4,0,7,2,0,0,6,0,2,10.53,0,0.0
19,Isaiah Thomas,5,0,4,1,2,0,8,0,1,5.0,0,0.0
20,DeAndre' Bembry,5,0,18,1,3,0,26,0,1,1.89,0,0.0
21,Paul Millsap,8,0,42,6,3,0,24,5,6,6.82,5,5.68
22,Spurs,3,0,0,0,1,0,5,4,0,0.0,4,30.77
23,Avery Bradley,2,0,10,0,1,0,12,1,0,0.0,1,3.85
24,Rawle Alkins,0,0,0,1,0,0,0,0,1,100.0,0,0.0
25,Will Barton,11,1,35,3,12,1,53,4,4,3.33,5,4.17
26,Nik Stauskas,0,0,2,1,1,0,3,0,1,14.29,0,0.0
27,Danuel House Jr.,5,1,14,0,2,0,7,1,0,0.0,2,6.67
28,Jerami Grant,10,1,33,3,10,0,51,2,3,2.73,3,2.73
29,DeMarcus Cousins,6,1,14,2,2,0,5,0,2,6.67,1,3.33
30,Michael Carter-Williams,1,0,9,0,4,0,13,0,0,0.0,0,0.0
31,Omari Spellman,1,0,5,1,0,0,1,0,1,12.5,0,0.0
